,id,user_token,location,business,sex,employment,education,username,url,agrees,thanks,asks,answers,posts,followees,followers,topic1,topic2,topic3,topic4,topic5,hashId
0,1,wudongqing,北京,互联网,male,蜂鸟网,,武冬青,,10852,790,11,223,57,148,8406,摄影,摄影技巧,摄影技术,单反相机,照片,809b47e0d0e09fca57a195a9eb88d5a4
1,2,kapian,,互联网,female,蜂鸟网,,卡片,,6016,1135,11,10,0,381,2592,生活,恋爱,生活方式,摄影,心理学,0cac61291dc0e894f056f7a06b2ab2d8
2,3,thomaskksj,,旅游,male,摄影师,南洋理工大学（Nanyang Technological University）,Thomas看看世界,,33241,2969,11,25,48,110,28284,摄影,摄影技巧,摄影后期技术,摄影器材,Adobe Photoshop,d8c71392487aa83d654e6aa36c4e5dce
3,4,shao-shu-pai-46,,,,,,少数派,,8686,495,11,28,112,18,8662,WWDC17,Markdown,摄影,,,e3c85e95321538c49d13852df5abdb01
4,5,zoopda,深圳,互联网,male,烧麦网络,黑龙江中医药大学,老麦,,1178,242,11,48,1,264,1572,互联网,iOS 应用推荐,App Store,消费电子产品,高效工作,b00c41afc89ff96b0b0e5c6a92fe2716
5,6,sibyljiang,北京,互联网,female,Airbnb（爱彼迎）,北京大学,小酱桶,,4259,1785,11,16,0,169,4807,摄影,Airbnb（爱彼迎）,艺术,摄影师,美食,bfdfdd37626d10bfeec0c458c4fbbbb0
6,7,yixing-qi-xian-sheng,南京,互联网,male,,,一星期先生,,23277,2978,11,26,10,207,12603,摄影,手机摄影,人际交往,摄影后期技术,旅行,166ff125029881c4cf210ad90b8cf963
7,8,gui-gu-mi-tan,,,,,,硅谷密探,,27479,4569,11,117,79,93,26031,互联网,创业,科技,硅谷,黑科技,52e5d162ad14a515e65140b61f282fba
8,9,a9x098,斯坦福大学 (Stanford University),科研,male,斯坦福大学（Stanford University）,斯坦福大学 (Stanford University),陈志谦,,0,0,11,2,2,2,14,投资,摄影,文化,,,b3231a6a33661726ac5bfeaa69cfe71c
9,10,mingkyle420,杭州,互联网,male,网易,,赵明亿,,11151,3595,11,5,124,174,5233,iOS 应用,iPhone 应用,iOS 应用推荐,互联网,2016 年盘点,0b7f860313a692810e8f950d8e426561
10,11,JudyZhao,杭州,人力资源,female,,香港中文大学,别叫我Judy,,21614,1600,11,25,37,65,29964,摄影,旅行,时尚,摄影技巧,美食,2a3ef9acf030f61aaa93150032d1b9a4
11,12,xiang-yu-qing-86,克拉玛依,石油工业,male,新疆油田公司,中国石油大学（北京）,翔宇情,,71236,12759,11,2321,56,489,34583,摄影,单反相机,摄影器材,相机,摄影技术,71de14d92f495b802031574ff2436456
12,13,vipzhangxiao,北京,互联网,male,北京大学出版社,长沙理工大学,张二二,,37544,10369,11,109,11,113,37762,摄影,摄影技巧,人像摄影,摄影后期技术,摄影器材,cb0e0dde840f96a378f4b054a57a2ef1
13,14,huang-yikai,,,male,,,黄一凯,,32849,9208,11,141,15,567,23853,摄影,语义,AlphaGo（阿尔法围棋）,罗曼语族,印欧语系,7cc6fd849698a70bbe086baa6d8356bd
14,15,liang-qi-ying-xiang,武汉,职业教育,male,湖北传媒摄影技师学院,广州美术学院,惊奇影像,,39677,8329,11,651,33,172,27743,摄影,摄影技巧,摄影师,单反相机,摄影器材,61ad5a0e50d420e70efd283d0cae9a24
15,16,wei-xin-yu-42,香港,,male,,香港中文大学 (CUHK),魏鑫宇,,25938,1518,11,131,24,294,7408,摄影,NBA,数学,香港中文大学 (CUHK),香港,019d91bf4ae8c40ac24dc091f2fc9c7a
16,17,fox4x4x4x,ᐖᐇ  ᓏ  ᐛ,保健,male,,,野合菌,,273575,46240,11,3956,9,1,83930,医学,生活,科学,科技,生活常识,e86236d75737694119d266f18c4c1794
17,18,daniel-hou,美国,地产建筑,male,Photographer,,侯不才,,1025,203,11,65,0,91,231,土木工程,Adobe Photoshop,魔兽争霸 3（Warcraft 3）,摄影后期技术,表（计时工具）,32cdda427c4bcde581a45cce5676bda1
18,19,yves,深圳,互联网,male,,,Yves,,77,21,11,11,5,192,197,用户体验,知乎,iPhone,Google Chrome,谷歌 (Google),676421b7c58a6de060215820466d819d
19,20,chenlong-shao,深圳生活,,male,,,chen龙少,,54,34,11,66,0,17,30,摄影,威锋网,游戏,商业,酒店管理专业,37fe54bfaad108611b1ee32d8a23f54f
20,21,yang-peng-56-62,石家庄,通信,male,,,杨芃,,4141,666,11,151,0,255,228,摄影,结婚,耳机,物理学,光学,eb9eda5975d488a09843a7c266c31c2e
21,22,faketo,上海,法律,male,,上海对外经贸大学,POTM,,2011,267,11,56,0,127,140,法律,守望先锋‭,漫威（Marvel）,刑法,摄影,3998ab678532564467a14289dd1a3f86
22,23,niu-peng-an,石家庄,创意艺术,male,蔓延视觉,河北大学,牛鹏安,,812,105,11,39,0,159,122,摄影,摄影技术,摄影器材,摄影技巧,摄影后期技术,2bdf718787d68c168117a5a897dfeca8
23,24,gazhi-liu,西朝鲜,,male,行星防御理事会,,liugazhi,,6455,737,11,55,0,5000,693,摄影,美剧,电影,历史,权力的游戏（美剧）,6b66c1192db1c07b468c553d5c2c3e51
24,25,kenny_0922,石家庄,铁路运输,male,,,陈坦,,15517,2240,11,190,0,330,713,铁路,调查类问题,轨道列车,电影,高铁,ad2bd4160ec7b960ce2d2ee701f8396c
25,26,ding-shi-san-48,,渔业,male,,,陆离,,2574,653,11,89,0,98,308,摄影,艺术,心理学,日本文化,音乐,0c8917b0d2dff1ab15e1356e515a1d4d
