,word,freq,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9
0,image,509,images,visage,Image,picture,photo,photograph,canny_refashioning,tarnished_image,reputation,
1,light,262,lights,yellowish_glow,illumination,Scaffold_Towers_DIY,injuries_Fuellhardt,workers_differently_Corenthal,Light,glow,sensitive_photoreceptor_cells,
2,camera,299,cameras,Wagging_finger,camera_lens,camcorder,Camera,Canon_digital_SLR,Cameras,Nikon_D####_digital_SLR,tripod,
3,landscape,255,landscapes,America_LaNier_recalls,cityscape,Landscape,scape,mountainscape,Linktone_categorizes_China,dramatically_reshapes,treescape,
4,shot,453,shots,shooting,shoot,pointblank_range,Shot,fired,richocheted,shoots,Handycam_camcorders_plunged,
5,iso,177,isos,cdr,usr_lib,debian,vga,chkdsk,sherlock,js,fdisk,
6,photography,221,Photography,photographic,photojournalism,photographer,portraiture,photojournalistic,pinhole_photography,printmaking,photograpy,
7,time,236,day,moment,days,period,periods,when,times,weeks,hours,
8,lens,146,lenses,lense,camera_lens,viewfinder,Lenses,Acuvue_Oasys,zoom_lens,eyepiece,prism,
9,shooting,457,Shooting,shot,shoot,shooter,shootings,shooters,shots,fatal_shootings,Jihadi_Attack,
10,exposure,115,exposures,Exposure,overexposure,exposed,Sheer_Miracle_received,overexposed,UVR_exposure,respirable_crystalline_silica,dose_ionizing_radiation,
11,scene,104,battlefield_Takacs,Ali_Ayez,carnage_Dizer,Medics_pronounced,Sunlight_illuminates,scence,scenes,Pronounced_dead,KWOD_Andy_Hawk,
12,find,151,discover,finding,Finding,found,tofind,fi_nd,locate,uncover,see,
13,look,176,looks,looking,Look,looked,see,Looking,glance,peek,consider,
14,shoot,454,shooting,shoots,Shoot,shot,shooters,Shooting,shots,shoot_skeet,kill,
15,take,220,taking,took,takes,taken,Taking,give,Take,totake,go,
16,shutter,93,shuttering,shutter_button,shuttered,shutters,Shutter,closure,mothball,aperture_settings,shut,
17,photo,170,photograph,photos,pictures,photographs,Photo,Photos,Photographs,FILE_Undated_file,picture,
18,noise,92,ambient_noise,Noise,loud_noise,noises,noisy,loudness,decible,loud_noises,vibration,
19,great,212,terrific,fantastic,tremendous,wonderful,good,incredible,marvelous,phenomenal,amazing,
20,sky,88,skies,Lightning_flickered,heavens,blue_sky,Flares_lit,clouds,darkening_sky,starry_sky,clouds_scudding_across,
21,frame,86,frames,frame_Benaquist,2_#/#-story_wood,Flushing_Meadows_shanked,respotted_black,kiln_dried_hardwood,goes_BERSERK,Uniek_digital_picture,fluked_red,
22,post,85,posts,www.pressbanner.com,Katrice_Rachal_Thanks,balmy_breezy_afternoon,Trackback_URL,disabled_pinging,Wazen_Dhehiba_border,mineral_diorite_porphyry,e_mail_editorNTL@gannetthg.com,
23,around,112,across,Around,aound,aroudn,aroud,over,throughout,down,upwards,
24,subject,86,Subject,topic,Note_Movie_showtimes,Indicate_Pet_Ohana,concerning,Sonus_sole_discretion,Type_Inbox,relating,subjects,
25,sony,82,samsung,nintendo,ps3,ps2,psp,activision,nokia,psn,xbox,
26,help,149,helping,helps,Help,tohelp,assist,helped,Helping,enable,try,
27,foreground,81,Photo_caption,file_photo,silhouetted,AP_Photo,File_photo,Associated_PressA,FILE_**,Associated_PressThe,partially_obscured,
28,astrophotography,82,astrophotographer,SkyCenter,skywatching,astro_photography,inch_Schmidt_Cassegrain,constellations_planets,Gigapan,GigaPan,astronomy,
29,good,283,great,bad,terrific,decent,nice,excellent,fantastic,better,solid,
30,work,91,working,works,worked,Work,towork,job,Working,labors,roofers_painters,
31,focus,94,focused,focusing,concentrate,concentrating,focussed,focussing,refocus,emphasis,focuses,
32,dynamic,75,multi_dimensional,OMX_Helsinki_CTL1V,dynamics,Axway_establishes,SFDR_spurious_free,energetic,multi_faceted,dynamically,vibrant,
33,point,71,points,pointers,mispronounced_McNamee_name,juncture,makeable_shots,Prucnell_stops,pointer,threepoint,arc,
34,day,157,week,days,morning,month,hours,afternoon,hour,weekend,evening,
35,focal,70,Focal,foci,focal_point,vantage,nodal,conjunctival,salient,LWIR,multifocal,
36,little,146,bit,much,wee_bit,litte,everything'sa,lot,maybe,tad,litle,
37,night,107,evening,afternoon,nights,Saturday,morning,tonight,Sunday,weekend,Friday,
38,water,66,potable_water,Water,sewage,groundwater,Floridan_aquifer,surficial_aquifer,freshwater,potable,wastewater,
39,composition,70,compositions,Composition,compositional,dynamics,Bach_Archiv_foundation,composed,tonal_qualities,thickly_textured,chemical_composition,
40,format,64,formats,Format,DNG_file,file_formats,formatted,mov_file,Additionally_SearchMedia,Called_slotMusic,uncompressed_AVI,
41,different,69,Different,diff_erent,differing,dif_ferent,differ_ent,diferent,varying,differently,diffferent,
42,new,64,revamped,thenew,newest,newly,revamps,newer,brand_spanking,existing,long_awaited,
43,people,61,peole,poeple,individuals,folks,peple,peo_ple,peope,citizens,Americans,
44,area,62,areas,outlying_areas,region,vicinity,neighborhoods,neighborhood,Area,metropolitan,mile_radius,
45,two,112,three,four,five,six,seven,eight,nine,several,Two,
46,range,66,ranges,ranging,wide_range,ranged,broad_range,variety,Husband_Ala._prof,Derrie_Air_sample,Healthy_BMIs,
47,panorama,70,panoramic,panoramas,panoramic_view,vistas,vista,panoramic_views,panoramic_vistas,cityscape,breathtaking_panoramic,
48,however,85,though,although,nevertheless,nonetheless,that,meanwhile,also,but,only,
49,try,96,trying,tried,tries,want,hoping,Trying,attempt,regroup_refocus,attempting,
50,right,79,Right,wrong,##.Help_us,Goodwill_Catanese,left,fielder_Joe_Borchard,NOTE_Xactly_Incent,fielder_Ambiorix_Concepcion,now,
51,always,241,definitely,really,obviously,certainly,never,everybody,whenever,something,sometimes,
52,photographer,61,photojournalist,freelance_photographer,Photographer,photographers,lensman,photojournalists,photog,videographer,cameraman,
53,sunset,111,MyBlogLog_Yahoo,sunrise,sunsets,dusk,Dangjin_south,sundown,twilight,paddleboat_rides,moonlight,
54,aperture,73,aperture_settings,apertures,lens_aperture,focal_length,aperture_lens,viewfinder,circular_aperture,electronic_viewfinder,collimator,
55,final,78,Final,penultimate,fi_nal,second,first,fourth,finals,thefinal,semi_final,
56,think,230,know,guess,suppose,really,thought,obviously,maybe,probably,believe,
57,location,55,locale,locations,proximity,www.multimediagames.com_Investors,geographical_location,centrally_located,EKG_varies_depending,Location,close_proximity,
58,really,148,obviously,definitely,think,pretty,Really,kinda,just,kind,everybody,
59,well,184,as,poorly,nicely,excellently,decently,good,reasonably,far,much,
60,field,53,fields,fi_eld,Keith_Toogood,Mackenzie_Hoambrecker,Josh_Arauco_kicked,Nick_Cattoi,Armando_Cuko,Jon_Striefsky,kicker_Nico_Grasu,
61,small,103,large,tiny,medium_sized,Small,smaller,minuscule,larger,mid_sized,midsized,
62,long,109,short,Long,longer,MSIM_strives,lengthy,longest,shorter,commercialize_duloxetine_hydrochloride,Pattern_Trapper_ADVANCED_Short,
63,something,172,anything,nothing,Something,what,things,really,thing,somebody,it,
64,photograph,189,photo,photographs,pictures,photos,Photographs,picture,photographed,portrait,images,
65,back,74,out,down,off,then,again,into,away,Back,backto,
66,start,86,begin,started,starting,starts,beginning,Start,finish,began,commence,
67,capture,95,capturing,captured,captures,Capturing,recapture,Capture,nab,Captured,apprehend,
68,usually,130,typically,normally,often,generally,sometimes,tend,rarely,invariably,Usually,
69,used,56,utilized,using,use,uses,intended,Used,Using,misused,designed,
70,better,155,stronger,quicker,smarter,worse,good,happier,nicer,easier,harder,
71,part,97,integral_part,element,component,centerpiece,aspect,facet,integral_component,cornerstone,linchpin,
72,sensor,47,sensors,Sensor,inductive_proximity,Sensors,detector,ultrasonic_sensor,sensoring,inertial_sensor,sensor_detects,
73,tripod,300,monopod,sturdy_tripod,tripod_mount,camera,tripods,zoom_lens,LCD_viewfinder,softbox,flashgun,
74,getting,67,get,got,Getting,gotten,gets,geting,gettting,gettin,having,
75,interesting,51,intriguing,fascinating,exciting,Interesting,intersting,instructive,intruiging,amusing,enlightening,
76,dark,70,darkened,darker,gray,pools_Niederauer,darkness,darkest,ghostly_glow,Satanic_mills,stuffy_cabins,
77,lot,183,lots,plenty,lotof,alot,some,little,really,definitely,much,
78,higher,146,lower,Higher,greater,higer,increased,high,weaker,steeper,increase,
79,give,177,giving,gave,Give,gives,provide,given,Giving,take,get,
80,low,161,high,Low,lower,lowest,higher,lowish,ultralow,ahigh,zero,
81,milky,47,brownish,watery,creamy,blackish,reddish,greenish,orangey_brown,orangey,mottled,
82,taken,202,taking,take,took,Taking,Taken,given,takes,carried,gone,
83,might,116,may,could,would,should,Might,possibly,Could,perhaps,probably,
84,far,113,much,farther,so,well,yet,just,Far,none,many,
85,sure,150,know,glad,aware,think,necessary_Blawn,guess,okay,Ziad_Munson,Buster_Posey_Whiteside,
86,know,149,tell,think,do,understand,guess,tomorrow_Camardelle,knew,don'tknow,say,
87,wide,81,wider,widest,fizzed_narrowly,Wide,drifted_agonizingly,across,broad,narrow,agonizingly_wide,
88,high,163,low,High,higher,highest,ahigh,lower,Low,HIGH,lowest,
89,keep,69,kept,keeping,keeps,stay,Keeping,Keep,maintain,Kept,remain,
90,show,50,shows,showing,Show,showed,shown,demonstrate,Shows,THE_SINGING_BEE,PBS_Soundstage,
91,without,41,Without,sans,witout,before,no,withouth,prevented,whatsoever,w_o,
92,sun,46,sunlight,sun_rays,sunshine,sunrays,noonday_sun,rays,suns_rays,dried_tomato_basil,sun_shining,
93,volcano,52,volcanoes,eruption,volcanic_eruption,dormant_volcano,rumbling_volcano,lava,Merapi,volcanic,volcano_erupted,
94,another,92,Another,this,one,anther,an,aa,next,every,the,
95,sunrise,109,dawn,sunset,dusk,sundown,daybreak,moonrise,sunup,sheen_rippling,vengeful_countrymen,
96,enough,115,sufficient,enought,too,sufficiently,not,able,so,needed,could,
97,vertical,63,horizontal,vertically,Vertical,verticals,verticle,horizontally,Audio_subcarrier_#.#,vertically_oriented,obturation_units_designed,
98,important,64,vitally_important,vital,crucial,essential,critical,utmost_importance,integral,impor_tant,key,
99,gfx,39,1ghz,ATI_X###,tegra,gfx_card,dvd_burner,radeon,afaik,X###XL,GeForce4_MX,
100,create,86,creating,created,creates,Creating,generate,develop,creat,Create,build,
101,mode,39,modes,Mode,Modes,drop-in/drop-out,Skirmish_mode,gameplay_modes,windowed_mode,gametype,player_splitscreen,
102,processing,52,Processing,processed,processor,warden_Dominick_DeRose,processors,Discoverer_Enterprise_resumed,LSI_Tarari,processer,remittance_processing,
103,let,114,letting,Let,do,want,lets,E_mail_heyjen@phillynews.com,allow,try,dare,
104,interest,42,Interest,interst,inter_est,terest,intrest,interests,desire,enthusiasm,curiosity,
105,setting,95,set,Setting,sets,establishing,Set,creating,breaking,settting,putting,
106,white,101,black,blue,brown,colored,wrote_Newitz,gray,whites,browns_grays,blues_grays,
107,full,48,Full,afull,complete,FULL,PNC.C_PNC.C,SCE.Q_SCE.Q,NWS.A_NWS.A._NWS.A,ERGY_ERGY,GDSZF_GDSZF,
108,set,87,setting,sets,Setting,Set,broke,Sets,Jilted_firefighter_set,breaking,pushed,
109,next,144,Next,last,sometime,later,tomorrow,final,thenext,'ll,upcoming,
110,longer,101,shorter,Longer,long,sooner,less,anymore,fewer,lengthier,direction_Ditcharo,
111,made,70,making,make,Making,makes,Make,Makes,came,mde,Made,
112,raw,37,Sky5_hovers,rawest,undercooked_shellfish,Want_Regime_Change,rawness,ignored_traps_baited,unadulterated,Shoot_Multiple_Fatalities,unprocessed,
113,test,41,tests,testing,tested,Testing,testings,Chlamydia_Rapid,extramarital_affairs_flunk,exam,pretests,
114,going,98,gonna,coming,'ll,goingto,want,do,go,gotta,really,
115,read,52,reading,reread,reads,write,Reread,handwrite,written,read_aloud,http://www.jpost.com_servlet_Satellite,
116,issue,78,issues,thorny_issue,problem,isssue,topic,Issues,touchy_subject,matter,matters,
117,feel,213,feeling,felt,feels,think,know,really,Feeling,Cinder_fella,sense,
118,result,61,consequence,resulting,resulted,inevitable_consequence,subsequent,consequent,aresult,outcome,due,
119,view,66,views,viewpoint,vantage_point,perspective,Noem_benefited,Smoke_obscures,vantage,MonitorPlus_article,Views,
120,example,64,instance,examples,illustration,exemplar,shining_example,reason,Example,counterexample,analogy,
121,filter,47,filters,filtering,filtered,Filtering,DPF_diesel_particulate,microGreen_oil,ClearPlay_sells,Filter,Bayesian_spam,
122,medium,36,##:##_Squarefootball_Diary,middlewoman,scale_industries_SMIs,Heat_nonstick_skillet,Preheat_barbecue_grill,endurance_cutter_homeported,expenditure_framework_MTEF,Medium,Heat_saut_pan,
123,tip,36,romaine_lettuces,tips,Tip,anonymous_tip,tipped,tipping,Deals_Diva,Ammassalik_Island,texting_TIPSUD,
124,consider,62,considering,contemplate,reconsider,recommend,considered,propose,ponder,contemplating,considers,
125,length,43,lenght,width,Length,duration,lengths,##.#m_###ft,really_casually_Buhai,Energyintel_analyst_George_Orwel,gross_tonna,
126,possible,56,humanly_possible,practicable,potential,feasible,possibly,Possible,possibile,necessary,possibility,
127,article,41,op_ed,column,articles,op_ed_piece,Op_Ed,editorial,oped,writeup,aricle,
128,actually,121,anyway,even,really,just,probably,so,it,maybe,if,
129,could,78,would,might,may,can,should,will,conceivably,did,Could,
130,detail,42,details,detailed,specifics,GoldSpring_filings,Maj._Mazen,painstaking_detail,lace_applique_floral,particulars,minutia,
131,blue,101,red,purple,white,maroon,colored,orange,yellow,teal,pink,
132,place,57,palce,places,spot,placein,sole_possession,placed,sole_possesion,finish,sole_posession,
133,ratio,34,ratios,Ratio,.##:#,aP_S,adv_dec_ratio,#.#:#,#.#:#_#.#:#,ROE,Nifty_PCR,
134,gear,47,gears,equipment,Gear,drysuits,protective_gear,raingear,drysuit,boots,hoses_nozzles,
135,found,149,discovered,find,uncovered,finding,finds,stumbled_upon,unearthed,discoverd,searched,
136,angle,34,angles,angled,oblique_angle,unnaturally_twisted,acutest,camera_angles,viewing_angle,curvature,swivel,
137,horizon,120,looming,Fireballs_lit,distant_speck,looms_ominously,clouds,horizons,Capricornus,sky,radar_screen,
138,change,47,changes,changing,changed,alter,shift,Changing,Change,seismic_shift,Changes,
139,star,32,stars,superstar,starlet,megastar,heart_throb,teen_heart_throb,heart_throb_Zac_Efron,heartthrob,superstars,
