,word,freq,s1,s2,s3,s4,s5,s6,s7,s8,s9
0,image,338,,,,,,,,,
1,light,259,,,,,,,,,
2,camera,252,,,,,,,,,
3,landscape,251,,,,,,,,,
4,shot,227,,,,,,,,,
5,iso,168,,,,,,,,,
6,photography,153,,,,,,,,,
7,time,151,,,,,,,,,
8,lens,128,,,,,,,,,
9,shooting,126,,,,,,,,,
10,exposure,111,,,,,,,,,
11,scene,104,,,,,,,,,
12,find,103,,,,,,,,,
13,look,102,,,,,,,,,
14,shoot,100,,,,,,,,,
15,take,95,,,,,,,,,
16,shutter,91,,,,,,,,,
17,photo,90,,,,,,,,,
18,noise,90,,,,,,,,,
19,great,89,,,,,,,,,
20,sky,88,,,,,,,,,
21,frame,86,,,,,,,,,
22,post,85,,,,,,,,,
23,around,83,,,,,,,,,
24,subject,82,,,,,,,,,
25,sony,82,,,,,,,,,
26,help,82,,,,,,,,,
27,foreground,81,,,,,,,,,
28,astrophotography,80,,,,,,,,,
29,good,78,,,,,,,,,
30,work,75,,,,,,,,,
31,focus,74,,,,,,,,,
32,dynamic,72,,,,,,,,,
33,point,69,,,,,,,,,
34,day,69,,,,,,,,,
35,focal,67,,,,,,,,,
36,little,66,,,,,,,,,
37,night,66,,,,,,,,,
38,water,66,,,,,,,,,
39,composition,64,,,,,,,,,
40,format,64,,,,,,,,,
41,different,62,,,,,,,,,
42,new,61,,,,,,,,,
43,people,61,,,,,,,,,
44,area,60,,,,,,,,,
45,two,60,,,,,,,,,
46,range,60,,,,,,,,,
47,panorama,59,,,,,,,,,
48,however,58,,,,,,,,,
49,try,58,,,,,,,,,
50,right,57,,,,,,,,,
51,always,57,,,,,,,,,
52,photographer,56,,,,,,,,,
53,sunset,56,,,,,,,,,
54,aperture,56,,,,,,,,,
55,final,56,,,,,,,,,
56,think,55,,,,,,,,,
57,location,55,,,,,,,,,
58,really,54,,,,,,,,,
59,fujifilm,54,,,,,,,,,
60,well,54,,,,,,,,,
61,field,53,,,,,,,,,
62,small,53,,,,,,,,,
63,long,53,,,,,,,,,
64,something,53,,,,,,,,,
65,photograph,53,,,,,,,,,
66,back,52,,,,,,,,,
67,start,52,,,,,,,,,
68,capture,52,,,,,,,,,
69,usually,50,,,,,,,,,
70,used,49,,,,,,,,,
71,better,48,,,,,,,,,
72,part,48,,,,,,,,,
73,depth,48,,,,,,,,,
74,sensor,47,,,,,,,,,
75,tripod,47,,,,,,,,,
76,getting,47,,,,,,,,,
77,interesting,46,,,,,,,,,
78,dark,46,,,,,,,,,
79,lot,46,,,,,,,,,
80,higher,46,,,,,,,,,
81,colour,45,,,,,,,,,
82,give,44,,,,,,,,,
83,low,44,,,,,,,,,
84,milky,44,,,,,,,,,
85,taken,43,,,,,,,,,
86,might,43,,,,,,,,,
87,far,43,,,,,,,,,
88,sure,42,,,,,,,,,
89,know,42,,,,,,,,,
90,wide,41,,,,,,,,,
91,high,41,,,,,,,,,
92,keep,41,,,,,,,,,
93,show,40,,,,,,,,,
94,without,40,,,,,,,,,
95,sun,40,,,,,,,,,
96,volcano,39,,,,,,,,,
97,another,39,,,,,,,,,
98,sunrise,39,,,,,,,,,
99,enough,39,,,,,,,,,
100,vertical,39,,,,,,,,,
101,important,39,,,,,,,,,
102,gfx,39,,,,,,,,,
103,create,39,,,,,,,,,
104,mode,39,,,,,,,,,
105,processing,39,,,,,,,,,
106,let,39,,,,,,,,,
107,interest,38,,,,,,,,,
108,setting,38,,,,,,,,,
109,white,38,,,,,,,,,
110,full,38,,,,,,,,,
111,set,38,,,,,,,,,
112,next,38,,,,,,,,,
113,longer,38,,,,,,,,,
114,made,38,,,,,,,,,
115,raw,37,,,,,,,,,
116,test,37,,,,,,,,,
117,going,37,,,,,,,,,
118,read,37,,,,,,,,,
119,issue,37,,,,,,,,,
120,feel,37,,,,,,,,,
121,result,37,,,,,,,,,
122,view,37,,,,,,,,,
123,example,36,,,,,,,,,
124,filter,36,,,,,,,,,
125,medium,36,,,,,,,,,
126,tip,36,,,,,,,,,
127,consider,36,,,,,,,,,
128,length,36,,,,,,,,,
129,possible,35,,,,,,,,,
130,article,35,,,,,,,,,
131,actually,35,,,,,,,,,
132,could,35,,,,,,,,,
133,detail,35,,,,,,,,,
134,blue,34,,,,,,,,,
135,place,34,,,,,,,,,
136,ratio,34,,,,,,,,,
137,gear,34,,,,,,,,,
138,found,33,,,,,,,,,
139,angle,33,,,,,,,,,
140,horizon,32,,,,,,,,,
141,change,32,,,,,,,,,
142,star,32,,,,,,,,,
143,beautiful,32,,,,,,,,,
144,sometimes,32,,,,,,,,,
145,love,32,,,,,,,,,
146,speed,31,,,,,,,,,
147,background,30,,,,,,,,,
148,trip,30,,,,,,,,,
149,main,30,,,,,,,,,
150,come,30,,,,,,,,,
151,available,30,,,,,,,,,
152,bright,29,,,,,,,,,
153,close,29,,,,,,,,,
154,almost,29,,,,,,,,,
155,software,29,,,,,,,,,
156,end,28,,,,,,,,,
157,technique,28,,,,,,,,,
158,check,28,,,,,,,,,
159,hour,28,,,,,,,,,
160,low-light,28,,,,,,,,,
161,perfect,28,,,,,,,,,
162,effect,28,,,,,,,,,
163,rule,28,,,,,,,,,
164,looking,27,,,,,,,,,
165,urban,27,,,,,,,,,
166,mind,27,,,,,,,,,
167,picture,27,,,,,,,,,
168,quite,27,,,,,,,,,
169,thing,27,,,,,,,,,
170,world,27,,,,,,,,,
171,eye,27,,,,,,,,,
